month,orders,median_ticket,fee_old,fee_new,fee_delta
1,5019,124.2289948,45694.70266420939,63562.9307856903,17868.228121480908
2,2954,197.90283716,34330.4739276378,40352.59258229274,6022.11865465494
3,4633,144.937722,48155.501244230414,61038.35344039106,12882.852196160644
4,4828,130.851949645,46934.33274932139,62237.97049738618,15303.637748064795
5,5482,125.821921555,53808.16050393014,71242.56136274769,17434.400858817535
6,5575,133.10951042,55892.425843228324,72575.34312559794,16682.91728236961
7,6294,130.75636196,61409.11897959467,81035.50535958211,19626.386379987434
8,6432,144.05135328,64949.110692558526,83495.73176713209,18546.62107457356
9,5582,208.38994407660002,67674.88303127658,76772.08702984227,9097.203998565688
10,4591,409.605346,69239.53061871814,68392.7892027284,-846.7414159897403
11,4231,452.9148454,65274.118710324285,63882.34227969316,-1391.776430631119
12,3398,376.9552444412,49562.99620895123,50033.58280300626,470.5865940550346
