carrier_code,carrier,orders,avg_delta,total_delta,median_ticket
LA,LATAM,7294,5.047531508472161,36816.69482279594,101.78468706000001
F9,Frontier,6746,5.865431513381604,39568.2009892723,94.23717534
AS,Alaska,3718,3.2930810934055996,12243.675505282019,164.10381048
TK,Turkish,3515,-2.6563628150085745,-9337.11529475514,691.85
AV,Avianca,3230,6.638224055733871,21441.463700020402,68.84305619
EI,Aer Lingus,3005,-2.4783755750979104,-7447.518603169221,506.5172280000001
NK,Spirit,2970,6.4593897711783095,19184.38762039958,71.80095131499999
AM,Aeromexico,1859,1.0765674280825173,2001.3388488053995,243.342957
QR,Qatar,1780,-4.414748711346034,-7858.25270619594,1346.498025895
EK,Emirates,1734,-4.76228450650594,-8257.8013342813,1581.93407725
