sales_month,Channel,ticket_zone,orders,passengers,total_ticket_value,total_margin,fee_old_scheme,fee_new_scheme,fee_delta,fee_delta_pct_of_margin
2022-01,Aeroprice,<$262.50 (fee up),3442,4514,326351.2,-14421.6,13054.05,36141.0,23086.95,-160.09
2022-01,Aeroprice,$262.50-500 (about even),522,810,193643.07,-3691.63,7745.72,7376.93,-368.79,9.99
2022-01,Aeroprice,>$500 (fee down),1055,1881,1319664.75,7648.2,24894.93,20045.0,-4849.93,-63.41
2022-01,Direct,<$262.50 (fee up),163,202,21236.36,1192.26,0.0,0.0,0.0,0.0
2022-01,Direct,$262.50-500 (about even),92,110,34494.75,937.81,0.0,0.0,0.0,0.0
2022-01,Direct,>$500 (fee down),188,306,272306.64,7695.29,0.0,0.0,0.0,0.0
2022-01,Google Flights,<$262.50 (fee up),487,535,66652.42,-393.43,0.0,0.0,0.0,-0.0
2022-01,Google Flights,$262.50-500 (about even),317,369,119832.83,3093.22,0.0,0.0,0.0,0.0
2022-01,Google Flights,>$500 (fee down),1160,1613,1338437.0,26024.36,0.0,0.0,0.0,0.0
2022-01,Jetcost,<$262.50 (fee up),43,60,6100.61,-77.72,0.0,0.0,0.0,-0.0
2022-01,Jetcost,$262.50-500 (about even),13,17,4750.09,6.46,0.0,0.0,0.0,0.0
2022-01,Jetcost,>$500 (fee down),7,23,8818.3,56.14,0.0,0.0,0.0,0.0
2022-01,Jetradar,<$262.50 (fee up),155,227,21543.13,420.99,0.0,0.0,0.0,0.0
2022-01,Jetradar,$262.50-500 (about even),56,99,19936.58,294.89,0.0,0.0,0.0,0.0
2022-01,Jetradar,>$500 (fee down),54,118,48800.89,802.88,0.0,0.0,0.0,0.0
2022-01,Kayak Group,<$262.50 (fee up),11,18,1231.26,-16.5,0.0,0.0,0.0,-0.0
2022-01,Kayak Group,$262.50-500 (about even),28,35,11660.49,-102.61,0.0,0.0,0.0,-0.0
2022-01,Kayak Group,>$500 (fee down),127,233,205329.79,4632.67,0.0,0.0,0.0,0.0
2022-01,Other,<$262.50 (fee up),80,91,10249.35,-406.13,0.0,0.0,0.0,-0.0
2022-01,Other,$262.50-500 (about even),21,29,8142.55,-187.27,0.0,0.0,0.0,-0.0
2022-01,Other,>$500 (fee down),29,54,28747.02,914.55,0.0,0.0,0.0,0.0
2022-02,Aeroprice,<$262.50 (fee up),1626,2378,156445.0,2798.22,6257.8,17073.0,10815.2,386.5
2022-02,Aeroprice,$262.50-500 (about even),376,620,136367.36,89.36,5454.69,5191.59,-263.1,-294.43
2022-02,Aeroprice,>$500 (fee down),952,1764,1414460.89,22958.91,22617.98,18088.0,-4529.98,-19.73
2022-02,Direct,<$262.50 (fee up),169,198,19858.96,1610.81,0.0,0.0,0.0,0.0
2022-02,Direct,$262.50-500 (about even),79,110,29932.6,1434.23,0.0,0.0,0.0,0.0
2022-02,Direct,>$500 (fee down),254,402,339144.16,9977.13,0.0,0.0,0.0,0.0
2022-02,Google Flights,<$262.50 (fee up),666,744,84514.89,384.79,0.0,0.0,0.0,0.0
2022-02,Google Flights,$262.50-500 (about even),296,369,116353.41,1574.47,0.0,0.0,0.0,0.0
2022-02,Google Flights,>$500 (fee down),1618,2437,2289584.08,41976.69,0.0,0.0,0.0,0.0
2022-02,Jetcost,<$262.50 (fee up),46,70,6557.32,101.03,0.0,0.0,0.0,0.0
2022-02,Jetcost,$262.50-500 (about even),20,42,7530.33,124.78,0.0,0.0,0.0,0.0
2022-02,Jetcost,>$500 (fee down),19,55,15538.3,519.45,0.0,0.0,0.0,0.0
2022-02,Jetradar,<$262.50 (fee up),136,167,21342.04,-213.72,0.0,0.0,0.0,-0.0
2022-02,Jetradar,$262.50-500 (about even),69,104,25565.55,110.72,0.0,0.0,0.0,0.0
2022-02,Jetradar,>$500 (fee down),64,143,73288.33,2508.57,0.0,0.0,0.0,0.0
2022-02,Kayak Group,<$262.50 (fee up),22,31,3668.58,-40.69,0.0,0.0,0.0,-0.0
2022-02,Kayak Group,$262.50-500 (about even),41,50,16649.93,-80.45,0.0,0.0,0.0,-0.0
2022-02,Kayak Group,>$500 (fee down),211,370,326115.82,8057.45,0.0,0.0,0.0,0.0
2022-02,Other,<$262.50 (fee up),60,65,8593.44,-212.02,0.0,0.0,0.0,-0.0
2022-02,Other,$262.50-500 (about even),36,54,13199.64,144.62,0.0,0.0,0.0,0.0
2022-02,Other,>$500 (fee down),32,58,35705.0,869.28,0.0,0.0,0.0,0.0
2022-03,Aeroprice,<$262.50 (fee up),2879,3704,276735.32,-5892.72,11069.41,30229.5,19160.09,-325.15
2022-03,Aeroprice,$262.50-500 (about even),511,770,189014.52,390.18,7560.58,7191.85,-368.73,-94.5
2022-03,Aeroprice,>$500 (fee down),1243,2210,1856148.75,28588.38,29525.51,23617.0,-5908.51,-20.67
2022-03,Direct,<$262.50 (fee up),267,322,35883.82,1455.77,0.0,0.0,0.0,0.0
2022-03,Direct,$262.50-500 (about even),96,138,36402.14,1479.85,0.0,0.0,0.0,0.0
2022-03,Direct,>$500 (fee down),401,627,587789.39,14830.45,0.0,0.0,0.0,0.0
2022-03,Google Flights,<$262.50 (fee up),692,753,90154.9,1154.65,0.0,0.0,0.0,0.0
2022-03,Google Flights,$262.50-500 (about even),447,533,171942.57,4701.36,0.0,0.0,0.0,0.0
2022-03,Google Flights,>$500 (fee down),2366,3631,3648706.92,70001.76,0.0,0.0,0.0,0.0
2022-03,Jetcost,<$262.50 (fee up),65,80,10211.55,286.84,0.0,0.0,0.0,0.0
2022-03,Jetcost,$262.50-500 (about even),67,115,24691.51,737.33,0.0,0.0,0.0,0.0
